,id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
1932,513347,zh,肆式青春,48.306,2018-08-04,6.8,430,"['Animation', 'Romance', 'Drama']","The rigorous city life of China, while bustling and unforgiving, contains the everlasting memories of days past. Three stories told in three different cities, follow the loss of youth and the daunting realization of adulthood.  Though reality may seem ever changing, unchangeable are the short-lived moments of one's childhood days. A plentiful bowl of noodles, the beauty of family and the trials of first love endure the inevitable flow of time, as three different characters explore the strength of bonds and the warmth of cherished memories. Within the disorder of the present world, witness these quaint stories recognize the comfort of the past, and attempt to revive the neglected flavors of youth.",496334,74,
1933,87825,en,Trouble with the Curve,53.994,2012-09-21,6.7,893,"['Drama', 'Romance']","Slowed by age and failing eyesight, crack baseball scout Gus Lobel takes his grown daughter along as he checks out the final prospect of his career. Along the way, the two renew their bond, and she catches the eye of a young player-turned-scout.",0,111,Whatever Life Throws at You.
1934,44833,en,Battleship,34.236,2012-04-11,5.8,4422,"['Thriller', 'Action', 'Adventure', 'Science Fiction']","When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential that his brother, and his fiancée's father—an Admiral—expect of him.",303025485,131,The Battle for Earth Begins at Sea
1935,407655,en,A Cinderella Story: If the Shoe Fits,37.032,2016-08-02,7.2,723,"['Comedy', 'Family', 'Fantasy', 'Music']",A contemporary musical version of the classic Cinderella story in which the servant step daughter hope to compete in a musical competition for a famous pop star.,0,92,A magical musical treat for the dreamer in all of us.
1936,413126,ja,ファントム オブ キル ―ZEROからの反逆―,32.371,2016-04-07,7.0,3,"['Action', 'Adventure', 'Animation', 'Fantasy', 'Mystery']","Game producer Jun Imaizumi announced six new projects related to the smartphone game ""Phantom of the Kill"" during a Niconico live broadcast celebrating the game's one-year anniversary on Friday. One of the new projects is a 15-minute anime concept film. Naoyoshi Shiotani (Psycho-Pass, Blood-C: The Last Dark) will direct the concept film at Production I.G Fuji & Gumi Games' strategy drama RPG follows mysterious girls who carry the names of legendary weapons (such as ""Masamune"") as they search for their lost memories. The game allows players to collect characters and weapons, and enter dungeons to engage in turn-based tactical battles.",0,0,
1937,15969,en,The Return of Jafar,37.113,1994-05-20,6.1,2133,"['Family', 'Adventure', 'Animation', 'Romance']","The evil Jafar escapes from the magic lamp as an all-powerful genie, ready to plot his revenge against Aladdin. From battling elusive villains atop winged horses, to dodging flames inside an exploding lava pit, it's up to Aladdin - with Princess Jasmine and the outrageously funny Genie by his side - to save the kingdom once and for all.",0,69,The Aladdin adventure continues...
1938,77663,en,Killing Season,34.264,2013-07-12,5.5,776,"['Action', 'Thriller']","Two veterans of the Bosnian War, one American, one Serbian, clash in the remote Smoky Mountain wilderness.",39881,91,The purest form of war is one on one.
1939,315064,en,Animal Crackers,33.261,2017-06-23,6.5,127,"['Comedy', 'Animation', 'Adventure']",A family must use a magical box of Animal Crackers to save a rundown circus from being taken over by their evil uncle Horatio P. Huntington.,0,105,A magical adventure in every bite
1940,554590,es,Tod@s Caen,35.271,2019-08-30,7.8,391,['Comedy'],A pair of seducers try to prove who has the best techniques while trying not to fall in love with each other.,0,120,
1941,12437,en,Underworld: Rise of the Lycans,31.238,2009-01-22,6.5,2893,"['Fantasy', 'Action', 'Thriller']","A prequel to the first two Underworld films, this fantasy explains the origins of the feud between the Vampires and the Lycans. Aided by his secret love, Sonja, courageous Lucian leads the Lycans in battle against brutal Vampire king Viktor. Determined to break the king's enslavement of his people, Lucian faces off against the Death Dealer army in a bid for Lycan independence.",92158961,92,Every war has a beginning.
1942,502581,pt,Nada a Perder,36.639,2018-03-29,5.5,71,['Drama'],"Authorized biopic of Brazilian evangelical bishop Edir Macedo, founder of the Universal Church of the Kingdom of God and owner of Record TV network. Based on a book trilogy of the same name, the movie tells the story of the self-made man who faced several moments of turbulence while pursuing his conviction.",0,130,Against all odds. For the good of all.
1943,372519,pt,Os Dez Mandamentos: O Filme,36.452,2016-01-28,7.3,220,['Drama'],Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The story told like never before is faithful to the Scriptures.,37070177,120,
1944,820654,en,Seven Deadly Sins: Envy,33.925,2021-04-17,6.3,3,['Drama'],"Gabrielle seems to have it all - a devoted husband, a beautiful daughter, and a successful career in public relations. However, she soon stands to lose everything when she meets Keisha, her devious half sister who wants everything Gabrielle has.",0,87,Seven Deadly Sins: Envy
1945,390051,en,Aftermath,27.75,2017-02-28,5.8,702,"['Drama', 'Thriller']","A fatal plane crash changes the lives of Roman and Jake forever. Roman loses his wife and daughter in the accident, while Jake loses his mind—as he happens to be the air traffic controller who failed to avert the nightmare. Rage and revenge engulfs Roman and Jake finds himself swamped with guilt and regret.",261465,92,All he had left was revenge
1946,109431,en,Identity Thief,32.936,2013-02-07,5.8,2812,"['Comedy', 'Crime']","When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.",173965010,111,She's having the time of his life
1947,109428,en,Evil Dead,34.686,2013-04-05,6.4,3493,['Horror'],"A secluded cabin. An ancient curse. An unrelenting evil. The original producers reunite to present a genuinely terrifying re-imagining of their original horror masterpiece. Five young friends have found the mysterious and fiercely powerful Book of the Dead. Unable to resist its temptation, they release a violent demon on a bloodthirsty quest to possess them all. Who will be left to fight for their survival and defeat this unearthly force of murderous carnage?",97542952,91,
1948,266285,da,The Salvation,34.482,2014-05-22,6.4,626,"['Drama', 'Western']","In 1870s America, a peaceful American settler kills his family's murderer which unleashes the fury of a notorious gang leader. His cowardly fellow townspeople then betray him, forcing him to hunt down the outlaws alone.",1363964,92,Bad men will bleed.
1949,256274,en,"As Above, So Below",39.931,2014-08-14,6.7,2502,"['Horror', 'Thriller']","When a team of explorers ventures into the catacombs that lie beneath the streets of Paris, they uncover the dark secret that lies within this city of the dead.",40100000,93,The only way out is down
1950,105379,hi,Blood Money,38.939,2012-03-31,6.1,7,"['Drama', 'Action', 'Thriller']","In South Africa, a young man living with his wife becomes embroiled in an illegal diamond business and with time finds his life changing.",0,110,Success comes at a price.
1951,44683,en,Tinker Bell and the Great Fairy Rescue,34.228,2010-07-29,6.7,678,"['Animation', 'Adventure', 'Family', 'Fantasy']","During a summer stay on the mainland, Tinker Bell is accidentally discovered while investigating a little girl's fairy house. As the other fairies, led by the brash Vidia, launch a daring rescue in the middle of a fierce storm, Tink develops a special bond with the lonely, little girl.",0,76,
1952,302946,en,The Accountant,33.382,2016-10-13,7.0,4779,"['Crime', 'Thriller', 'Drama']","As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise.",155160045,128,Calculate your choices.
1953,877372,en,A World Without,34.629,2021-10-14,4.4,7,"['Mystery', 'Thriller', 'Drama']","Founded by the power couple, Ali and Sofia Khan, The Light is a training center that claims to be a self-betterment organization, focused on helping youths take charge of their life for a brighter future. But when three best friends join this organization, they soon realize that dark shadows lurk behind The Light and must find a way to escape.",0,106,
1954,204342,ja,HK/変態仮面,32.975,2013-04-13,6.2,106,"['Action', 'Comedy']","High school student Kyosuke Shikijo is the most talented member of the school's martial arts of the fist club. His late father was detective and Kyosuke share his father's strong sense of justice. Kyosuke also has a secret. Kyosuke likes to wear female underwear and transforms himself into the alter ego ""Hentai Kamen,"" wearing female underwear and gaining superhuman powers. This unusual interest also comes from his parents, with his father a masochist and his mother a sadist. By chance, Kyosuke gets the underwear of female high school student Aiko Himeno. With her underwear, he gains various pervert techniques and attempts to protect Aiko from a dirty and heinous teacher.",0,105,Panty Bless You.
1955,1924,en,Superman,31.819,1978-12-13,7.1,2834,"['Science Fiction', 'Action', 'Adventure']","Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",300218018,143,You'll Believe a Man Can Fly!
1956,116946,es,La llorona,32.131,2006-06-20,6.8,47,['Horror'],"On their way to Mexico, six students are stranded in a small town where years before a tragedy took place.",0,90,The Legend of La Llorona
1957,10676,en,Halloween III: Season of the Witch,33.618,1982-10-22,5.1,900,"['Horror', 'Thriller']","Dr. Daniel Challis and Ellie Grimbridge stumble onto a gruesome murder scheme when Ellie's novelty-salesman father, Harry, is killed while in possession of a halloween mask made by the Silver Shamrock mask company. The company's owner, Conal Cochran, wants to return Halloween to its darker roots using his masks -- and his unspeakable scheme would unleash death and destruction across the country.",14400000,98,The night no one comes home.
1958,1452,en,Superman Returns,26.72,2006-06-28,5.7,3255,"['Science Fiction', 'Action', 'Adventure']","Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest to felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",391081192,154,You’ll Believe A Man Can Fly Again!
1959,272878,en,Max,31.724,2015-06-26,7.1,618,"['Adventure', 'Drama']",A dog that helped soldiers in Afghanistan returns to the U.S. and is adopted by his handler's family after suffering a traumatic experience.,43967255,111,Best Friend. Hero. Marine.
